"Source:","/home/metro/git/soundseeker/ki_cad/soundseeker/soundseeker.kicad_sch"
"Date:","Sa 17 Sep 2022 15:48:06 CEST"
"Tool:","Eeschema 6.0.7-f9a2dced07~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","46"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Type"
"","","C1","10u","Device:C","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Tantal 10V 10%",""
"","","C2","10u","Device:C","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Tantal 10V 10%",""
"","","C3","1u","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","16V X7R 10%",""
"","","C4","10u","Device:C","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Tantal 10V 10%",""
"","","C5","1n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","10% 50V",""
"","","C6","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","10% 100V X7R",""
"","","C7","10n","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","10% 50V X7R",""
"","","C8","22u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x10.5","https://www.mouser.de/datasheet/2/40/kyocera_avx_aea_series-2526131.pdf","100V ","AEA0810220M100R "
"","","C9","22u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x10.5","https://www.mouser.de/datasheet/2/40/kyocera_avx_aea_series-2526131.pdf","100V ","AEA0810220M100R "
"","","C10","470p","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","5% 100V C0G",""
"","","C11","22u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x10.5","https://www.mouser.de/datasheet/2/40/kyocera_avx_aea_series-2526131.pdf","100V ","AEA0810220M100R "
"","","C12","10n","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","10% 50V X7R",""
"","","C13","15p","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","5% 50V",""
"","","C14","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","10% 100V X7R",""
"","","C15","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","10% 100V X7R",""
"","","C16","1u","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","16V X7R 10%",""
"","","D1","RB058L150DDTE25","Device:D_Schottky","Diode_SMD:D_SOD-128","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rb058l150ddte25-e.pdf","",""
"","","J1","Conn_01x11","Connector_Generic:Conn_01x11","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","~","",""
"","","L1","2.2u","Device:L","Inductor_SMD:L_Vishay_IFSC-1515AH_4x4x1.8mm","https://www.mouser.de/datasheet/2/427/sc15ah01-1762292.pdf","","IFSC1515AHER2R2M01 "
"","","Q1","FDT86113LZ","soundseeker:FDT86113LZ","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.mouser.de/datasheet/2/308/1/FDT86113LZ_D-1809132.pdf","",""
"","","R1","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R2","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R3","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1% ",""
"","","R4","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R5","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1% ",""
"","","R6","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R7","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1% ",""
"","","R8","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R9","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1% ",""
"","","R10","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R11","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1% ",""
"","","R12","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R13","20k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R14","20k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R15","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R16","1.69k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","125mW 1%",""
"","","R17","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1% ",""
"","","R18","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R19","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R20","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R21","47k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R22","20k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","R23","20k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"","","U1","MCP1652","Regulator_Switching:MCP1652","Package_SO:MSOP-8_3x3mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21876B.pdf","",""
"","","U2","TLV9052S","soundseeker:TLV9052S","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.ti.com/lit/ds/symlink/tlv9052.pdf","",""
"","","U3","OPA453","soundseeker:OPA453","Package_TO_SOT_SMD:TO-263-7_TabPin4","https://www.ti.com/lit/ds/symlink/opa453.pdf","",""



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Description","Type"
"1","3","C1, C2, C4","10u","Device:C","Resistor_SMD:R_1206_3216Metric_Pad1.30x1.75mm_HandSolder","~","Tantal 10V 10%",""
"2","2","C3, C16","1u","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","16V X7R 10%",""
"3","1","C5","1n","Device:C","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~","10% 50V",""
"4","3","C6, C14, C15","1u","Device:C","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","10% 100V X7R",""
"5","2","C7, C12","10n","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","10% 50V X7R",""
"6","3","C8, C9, C11","22u","Device:C_Polarized","Capacitor_SMD:CP_Elec_8x10.5","https://www.mouser.de/datasheet/2/40/kyocera_avx_aea_series-2526131.pdf","100V ","AEA0810220M100R "
"7","1","C10","470p","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","5% 100V C0G",""
"8","1","C13","15p","Device:C","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","5% 50V",""
"9","1","D1","RB058L150DDTE25","Device:D_Schottky","Diode_SMD:D_SOD-128","https://fscdn.rohm.com/en/products/databook/datasheet/discrete/diode/schottky_barrier/rb058l150ddte25-e.pdf","",""
"10","1","J1","Conn_01x11","Connector_Generic:Conn_01x11","Connector_PinHeader_2.54mm:PinHeader_1x11_P2.54mm_Vertical","~","",""
"11","1","L1","2.2u","Device:L","Inductor_SMD:L_Vishay_IFSC-1515AH_4x4x1.8mm","https://www.mouser.de/datasheet/2/427/sc15ah01-1762292.pdf","","IFSC1515AHER2R2M01 "
"12","1","Q1","FDT86113LZ","soundseeker:FDT86113LZ","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.mouser.de/datasheet/2/308/1/FDT86113LZ_D-1809132.pdf","",""
"13","7","R1, R2, R4, R6, R8, R10, R12","2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"14","6","R3, R5, R7, R9, R11, R18","1k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1% ",""
"15","4","R13, R14, R22, R23","20k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"16","1","R15","100k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"17","1","R16","1.69k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","125mW 1%",""
"18","1","R17","100","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1% ",""
"19","2","R19, R20","2.2k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"20","1","R21","47k","Device:R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~","250mW 1%",""
"21","1","U1","MCP1652","Regulator_Switching:MCP1652","Package_SO:MSOP-8_3x3mm_P0.65mm","http://ww1.microchip.com/downloads/en/DeviceDoc/21876B.pdf","",""
"22","1","U2","TLV9052S","soundseeker:TLV9052S","Package_SO:MSOP-10_3x3mm_P0.5mm","https://www.ti.com/lit/ds/symlink/tlv9052.pdf","",""
"23","1","U3","OPA453","soundseeker:OPA453","Package_TO_SOT_SMD:TO-263-7_TabPin4","https://www.ti.com/lit/ds/symlink/opa453.pdf","",""
